YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2015,Fall,"Benzio, Robert",DMT,D052,DMT D052,5,4,3,0,0,5
2015,Fall,"Benzio, Robert",DMT,D052,DMT D052,8,6,2,0,2,4
2015,Fall,"Klingman, Paul",DMT,D060A,DMT D060A,8,1,0,2,0,4
2015,Fall,"Klingman, Paul",DMT,D060A,DMT D060A,12,6,1,7,4,3
2015,Fall,"Klingman, Paul",DMT,D061A,DMT D061A,6,0,0,1,0,1
2015,Fall,"Klingman, Paul",DMT,D061A,DMT D061A,7,1,1,0,0,0
2015,Fall,"Blank, James",DMT,D065A,DMT D065A,8,2,1,1,0,0
2015,Fall,"Blank, James",DMT,D065A,DMT D065A,20,1,0,3,3,1
2015,Fall,"Appio, Michael",DMT,D077A,DMT D077A,1,0,1,0,0,0
2015,Fall,"Appio, Michael",DMT,D077B,DMT D077B,1,0,0,0,0,0
2015,Fall,"Appio, Michael",DMT,D077C,DMT D077C,1,1,0,0,0,0
2015,Fall,"Appio, Michael",DMT,D077D,DMT D077D,7,0,0,0,0,1
2015,Fall,"Appio, Michael",DMT,D077E,DMT D077E,0,0,0,0,,
2015,Fall,"Appio, Michael",DMT,D077F,DMT D077F,1,0,0,0,0,0
2015,Fall,"Klingman, Paul",DMT,D077Y,DMT D077Y,0,0,0,0,,
2015,Fall,"Appio, Michael",DMT,D080,DMT D080,13,5,6,1,0,1
2015,Fall,"Appio, Michael",DMT,D080,DMT D080,17,9,1,1,3,3
2015,Fall,"Appio, Michael",DMT,D084A,DMT D084A,20,4,3,0,2,3
2015,Fall,"Mori, James",DMT,D084A,DMT D084A,12,1,1,1,4,2
2015,Fall,"Appio, Michael",DMT,D087D,DMT D087D,17,4,1,1,3,0
2015,Fall,"McElravy, Micah",DMT,D087J,DMT D087J,19,4,0,0,1,1
2015,Fall,"Kennedy, Joseph",DMT,D090,DMT D090,6,11,7,1,3,7
2015,Fall,"Newell, Christoph",DMT,D095,DMT D095,14,21,8,1,2,2
2015,Fall,"Klingman, Paul",DMT,D101,DMT D101,0,0,0,0,0,1
2015,Fall,"Klingman, Paul",DMT,D102,DMT D102,0,0,0,0,0,2
2015,Fall,"Klingman, Paul",DMT,D103,DMT D103,0,0,0,0,0,0
2015,Fall,"Appio, Michael",DMT,D104,DMT D104,0,0,0,0,0,0
2015,Fall,"Appio, Michael",DMT,D110,DMT D110,0,0,0,0,0,2
2015,Fall,"Kennedy, Joseph",DMT,D201,DMT D201,0,0,0,0,0,2
2015,Fall,"Kennedy, Joseph",DMT,D202,DMT D202,0,0,0,0,0,0
2015,Fall,"Kennedy, Joseph",DMT,D205,DMT D205,0,0,0,0,0,0
2016,Spring,"Klingman, Paul",DMT,D060A,DMT D060A,4,5,0,1,2,4
2016,Spring,"Klingman, Paul",DMT,D060A,DMT D060A,3,4,0,4,2,8
2016,Spring,"Klingman, Paul",DMT,D061A,DMT D061A,0,0,0,2,2,1
2016,Spring,"Klingman, Paul",DMT,D061A,DMT D061A,5,0,0,1,2,1
2016,Spring,"Lamit, Gary",DMT,D066A,DMT D066A,12,4,2,0,4,4
2016,Spring,"Appio, Michael",DMT,D077A,DMT D077A,13,0,0,0,0,1
2016,Spring,"Appio, Michael",DMT,D077D,DMT D077D,5,1,1,0,0,0
2016,Spring,"Appio, Michael",DMT,D077E,DMT D077E,5,0,0,0,1,0
2016,Spring,"Appio, Michael",DMT,D077F,DMT D077F,2,1,0,0,0,0
2016,Spring,"Klingman, Paul",DMT,D077Z,DMT D077Z,0,0,0,0,,
2016,Spring,"Mori, James",DMT,D080,DMT D080,8,7,4,2,5,3
2016,Spring,"Appio, Michael",DMT,D084A,DMT D084A,19,2,5,0,0,1
2016,Spring,"Newell, Christoph",DMT,D084A,DMT D084A,13,5,1,2,1,4
2016,Spring,"Appio, Michael",DMT,D084B,DMT D084B,11,5,0,0,4,3
2016,Spring,"Appio, Michael",DMT,D084C,DMT D084C,13,6,2,0,2,1
2016,Spring,"Appio, Michael",DMT,D087D,DMT D087D,13,3,2,0,6,3
2016,Spring,"McElravy, Micah",DMT,D087J,DMT D087J,18,5,3,0,0,1
2016,Spring,"Tatarakis, Mike",DMT,D092,DMT D092,14,8,7,2,3,3
2016,Spring,"Klingman, Paul",DMT,D101,DMT D101,0,0,0,0,0,0
2016,Spring,"Appio, Michael",DMT,D102,DMT D102,0,0,0,0,0,0
2016,Spring,"Appio, Michael",DMT,D103,DMT D103,0,0,0,0,0,0
2016,Spring,"Klingman, Paul",DMT,D105,DMT D105,0,0,0,0,0,1
2016,Spring,"Lamit, Gary",DMT,D108,DMT D108,0,0,0,0,0,2
2016,Spring,"Klingman, Paul",DMT,D109,DMT D109,0,0,0,0,0,0
2016,Spring,"Kennedy, Joseph",DMT,D201,DMT D201,0,0,0,0,0,1
2016,Spring,"Kennedy, Joseph",DMT,D202,DMT D202,0,0,0,0,0,1
2016,Spring,"Kennedy, Joseph",DMT,D203,DMT D203,0,0,0,0,,
2016,Spring,"Kennedy, Joseph",DMT,D204,DMT D204,0,0,0,0,0,0
2016,Spring,"Kennedy, Joseph",DMT,D205,DMT D205,0,0,0,0,0,0
2016,Winter,"Benzio, Robert",DMT,D052,DMT D052,4,1,0,0,1,3
2016,Winter,"Benzio, Robert",DMT,D052,DMT D052,6,4,1,0,3,3
2016,Winter,"Klingman, Paul",DMT,D060A,DMT D060A,4,3,1,2,1,4
2016,Winter,"Klingman, Paul",DMT,D060A,DMT D060A,8,3,0,7,2,9
2016,Winter,"Klingman, Paul",DMT,D061A,DMT D061A,2,0,0,1,0,0
2016,Winter,"Klingman, Paul",DMT,D061A,DMT D061A,7,2,0,1,2,1
2016,Winter,"Lamit, Gary",DMT,D065A,DMT D065A,9,4,0,2,6,2
2016,Winter,"Appio, Michael",DMT,D077A,DMT D077A,5,0,2,0,0,1
2016,Winter,"Appio, Michael",DMT,D077B,DMT D077B,1,0,0,0,0,0
2016,Winter,"Appio, Michael",DMT,D077C,DMT D077C,0,0,0,0,,
2016,Winter,"Appio, Michael",DMT,D077D,DMT D077D,3,2,0,0,0,1
2016,Winter,"Appio, Michael",DMT,D077E,DMT D077E,5,1,0,0,1,0
2016,Winter,"Appio, Michael",DMT,D077F,DMT D077F,2,0,0,0,0,0
2016,Winter,"Newell, Christoph",DMT,D080,DMT D080,3,6,4,0,0,0
2016,Winter,"Mori, James",DMT,D080,DMT D080,8,5,6,0,2,0
2016,Winter,"Appio, Michael",DMT,D082,DMT D082,16,15,7,0,6,4
2016,Winter,"Appio, Michael",DMT,D084B,DMT D084B,11,11,4,0,1,0
2016,Winter,"Newell, Christoph",DMT,D084B,DMT D084B,6,13,5,1,0,1
2016,Winter,"Appio, Michael",DMT,D084C,DMT D084C,13,10,3,0,1,1
2016,Winter,"Appio, Michael",DMT,D087D,DMT D087D,13,6,10,0,4,0
2016,Winter,"McElravy, Micah",DMT,D087N,DMT D087N,24,0,1,0,1,1
2016,Winter,"Trzaskos, Piotr",DMT,D089A,DMT D089A,6,9,0,0,4,0
2016,Winter,"Kennedy, Joseph",DMT,D090,DMT D090,7,9,4,2,7,1
2016,Winter,"Lamit, Gary",DMT,D101,DMT D101,0,0,0,0,0,1
2016,Winter,"Appio, Michael",DMT,D104,DMT D104,0,0,0,0,0,0
2016,Winter,"Klingman, Paul",DMT,D106,DMT D106,0,0,0,0,0,0
2016,Winter,"Appio, Michael",DMT,D107,DMT D107,0,0,0,0,0,0
2016,Winter,"Kennedy, Joseph",DMT,D201,DMT D201,0,0,0,0,0,0
2016,Winter,"Kennedy, Joseph",DMT,D203,DMT D203,0,0,0,0,0,0
2016,Winter,"Kennedy, Joseph",DMT,D205,DMT D205,0,0,0,0,0,0
2016,Fall,"Thompson, Chapman",DMT,D053,DMT D053,29,3,3,0,1,6
2016,Fall,"Klingman, Paul",DMT,D060A,DMT D060A,6,3,0,2,1,7
2016,Fall,"Klingman, Paul",DMT,D060A,DMT D060A,10,5,1,1,2,10
2016,Fall,"Klingman, Paul",DMT,D063A,DMT D063A,4,1,0,0,0,0
2016,Fall,"Klingman, Paul",DMT,D063A,DMT D063A,10,1,1,2,3,2
2016,Fall,"Blank, James",DMT,D065A,DMT D065A,5,1,0,0,0,3
2016,Fall,"Blank, James",DMT,D065A,DMT D065A,8,2,1,1,3,4
2016,Fall,"Benzio, Robert",DMT,D073A,DMT D073A,7,2,2,1,2,2
2016,Fall,"Benzio, Robert",DMT,D073A,DMT D073A,5,1,2,0,6,1
2016,Fall,"Appio, Michael",DMT,D077A,DMT D077A,4,1,0,0,0,0
2016,Fall,"Appio, Michael",DMT,D077B,DMT D077B,3,1,0,0,0,0
2016,Fall,"Appio, Michael",DMT,D077C,DMT D077C,1,0,0,0,0,0
2016,Fall,"Appio, Michael",DMT,D077D,DMT D077D,3,0,0,1,1,0
2016,Fall,"Appio, Michael",DMT,D077E,DMT D077E,4,1,2,0,0,0
