YEAR,SEMESTER,INSTRUCTOR,SUBJECT,NUMBER,COURSE ID,A,B,C,D,F,W
2019,Spring,"Damjanovic, Jason",KNES,D36AX,KNES D36AX,29,2,0,1,0,2
2019,Winter,"Hertler, David",KNES,D012G,KNES D012G,27,2,1,0,0,2
2019,Spring,"Hertler, David",KNES,D025A,KNES D025A,25,2,2,0,0,1
2019,Winter,"Kragalott, Arden",KNES,D045,KNES D045,25,6,4,0,3,2
2019,Spring,"Hertler, David",KNES,D31AX,KNES D31AX,24,1,0,0,0,1
2019,Winter,"Damjanovic, Jason",KNES,D36AX,KNES D36AX,24,5,0,0,0,1
2019,Spring,"Hertler, David",KNES,D012G,KNES D012G,23,4,1,0,2,2
2019,Spring,"Mattis, Nicholas",KNES,D052,KNES D052,23,0,0,0,4,2
2019,Winter,"Evans, Nancy",KNES,D022E,KNES D022E,23,0,0,0,0,1
2019,Winter,"Owiesny, Cheryl",KNES,D045,KNES D045,23,5,3,3,8,3
2019,Winter,"Mattis, Nicholas",KNES,D05AX,KNES D05AX,23,0,0,0,0,1
2019,Spring,"Owiesny, Cheryl",KNES,D045,KNES D045,22,4,3,0,5,2
2019,Winter,"Damjanovic, Jason",KNES,D019A,KNES D019A,22,0,0,0,0,0
2019,Winter,"Guevara, Dawnis",KNES,D022B,KNES D022B,22,3,0,0,0,1
2019,Winter,"Mattis, Nicholas",KNES,D029A,KNES D029A,22,1,0,0,0,0
2019,Winter,"Hertler, David",KNES,D25AX,KNES D25AX,22,2,1,0,0,0
2019,Winter,"Kragalott, Arden",KNES,D053,KNES D053,21,8,4,0,2,2
2019,Spring,"Mattis, Nicholas",KNES,D005A,KNES D005A,20,2,0,0,3,2
2019,Spring,"Ghiasvand, Farzaneh",KNES,D022E,KNES D022E,20,1,0,0,2,3
2019,Spring,"Guevara, Dawnis",KNES,D22AX,KNES D22AX,20,1,1,0,2,1
2019,Winter,"Ghiasvand, Farzaneh",KNES,D025A,KNES D025A,20,0,0,1,1,4
2019,Winter,"Mattis, Nicholas",KNES,D052,KNES D052,20,3,0,1,4,1
2019,Spring,"Damjanovic, Jason",KNES,D15EX,KNES D15EX,19,1,0,0,0,2
2019,Spring,"Hertler, David",KNES,D25AX,KNES D25AX,19,2,1,0,0,0
2019,Winter,"Hertler, David",KNES,D31AX,KNES D31AX,19,0,1,0,0,1
2019,Spring,"Damjanovic, Jason",KNES,D19AX,KNES D19AX,18,2,0,0,0,0
2019,Winter,"Roesky, Richard",KNES,D032A,KNES D032A,18,2,0,0,1,1
2019,Winter,"Hertler, David",KNES,D31AX,KNES D31AX,18,2,0,0,0,0
2019,Spring,"Kragalott, Arden",KNES,D045,KNES D045,17,9,6,1,6,2
2019,Spring,"Kragalott, Arden",KNES,D045,KNES D045,17,10,5,1,4,4
2019,Spring,"Owiesny, Cheryl",KNES,D09AX,KNES D09AX,17,4,3,4,6,3
2019,Winter,"Owiesny, Cheryl",KNES,D045,KNES D045,17,2,3,0,10,7
2019,Winter,"Hertler, David",KNES,D25AX,KNES D25AX,17,0,0,0,0,2
2019,Winter,"Hertler, David",KNES,D32AX,KNES D32AX,17,1,0,0,0,0
2019,Winter,"Simons, Kelly",KNES,D022B,KNES D022B,16,1,0,0,0,2
2019,Winter,"Guevara, Dawnis",KNES,D054,KNES D054,16,4,6,4,5,2
2019,Spring,"Johnson, Mark",KNES,D05AX,KNES D05AX,15,4,1,0,1,2
2019,Spring,"Evans, Nancy",KNES,D11AX,KNES D11AX,15,1,0,0,0,1
2019,Spring,"Damjanovic, Jason",KNES,D15CX,KNES D15CX,15,3,0,0,0,1
2019,Spring,"Evans, Nancy",KNES,D22AX,KNES D22AX,15,0,0,0,1,0
2019,Spring,"Hertler, David",KNES,D31BX,KNES D31BX,15,0,0,0,0,0
2019,Spring,"Guevara, Dawnis",KNES,D39BX,KNES D39BX,15,1,1,0,1,0
2019,Spring,"Owiesny, Cheryl",KNES,D50AL,KNES D50AL,15,0,0,0,6,3
2019,Winter,"May, Christian",KNES,D022A,KNES D022A,15,1,0,0,2,1
2019,Winter,"Kragalott, Arden",KNES,D19EX,KNES D19EX,15,1,0,0,1,0
2019,Spring,"Catuiza, Rachel",KNES,D005A,KNES D005A,14,7,1,0,1,4
2019,Spring,"Ghiasvand, Farzaneh",KNES,D022B,KNES D022B,14,2,1,0,3,3
2019,Spring,"Johnson, Mark",KNES,D22BX,KNES D22BX,14,1,2,0,0,0
2019,Winter,"May, Christian",KNES,D022C,KNES D022C,14,1,0,0,1,3
2019,Winter,"Simons, Kelly",KNES,D022D,KNES D022D,14,1,0,0,0,0
2019,Winter,"Johnson, Mark",KNES,D22BX,KNES D22BX,14,3,0,0,1,1
2019,Spring,"Roesky, Richard",KNES,D025A,KNES D025A,13,0,0,0,0,2
2019,Spring,"Johnson, Mark",KNES,D037E,KNES D037E,13,2,1,0,4,5
2019,Spring,"Catuiza, Rachel",KNES,D11AX,KNES D11AX,13,5,0,0,0,2
2019,Spring,"Hertler, David",KNES,D25AX,KNES D25AX,13,3,0,0,0,2
2019,Winter,"Catuiza, Rachel",KNES,D11AX,KNES D11AX,13,1,1,1,1,4
2019,Winter,"Guevara, Dawnis",KNES,D22EX,KNES D22EX,13,3,0,0,0,0
2019,Spring,"Simons, Kelly",KNES,D022B,KNES D022B,12,1,0,1,0,0
2019,Spring,"Simons, Kelly",KNES,D032A,KNES D032A,12,1,0,0,0,1
2019,Spring,"Owiesny, Cheryl",KNES,D37AX,KNES D37AX,12,0,0,0,0,0
2019,Winter,"Lee-Wheat, Coleen",KNES,D012H,KNES D012H,12,0,0,0,0,3
2019,Winter,"Johnson, Mark",KNES,D05AX,KNES D05AX,12,4,5,1,3,0
2019,Winter,"Damjanovic, Jason",KNES,D15CX,KNES D15CX,12,1,0,0,1,1
2019,Winter,"Kragalott, Arden",KNES,D15EX,KNES D15EX,12,0,0,0,2,0
2019,Winter,"Hertler, David",KNES,D31BX,KNES D31BX,12,0,0,0,0,0
2019,Winter,"Owiesny, Cheryl",KNES,D37AX,KNES D37AX,12,1,0,0,1,0
2019,Spring,"Owiesny, Cheryl",KNES,D052,KNES D052,11,7,1,3,2,4
2019,Spring,"Kragalott, Arden",KNES,D053,KNES D053,11,8,3,2,4,1
2019,Spring,"Guevara, Dawnis",KNES,D054,KNES D054,11,4,2,0,18,4
2019,Spring,"Mattis, Nicholas",KNES,D06AX,KNES D06AX,11,0,0,0,0,1
2019,Spring,"Catuiza, Rachel",KNES,D11AX,KNES D11AX,11,6,1,0,0,1
2019,Spring,"Evans, Nancy",KNES,D22CX,KNES D22CX,11,0,0,0,0,2
2019,Spring,"Guevara, Dawnis",KNES,D26AX,KNES D26AX,11,2,2,1,0,3
2019,Winter,"Johnson, Mark",KNES,D19AX,KNES D19AX,11,1,1,0,1,1
2019,Winter,"Guevara, Dawnis",KNES,D19AX,KNES D19AX,11,0,0,0,1,0
2019,Winter,"Damjanovic, Jason",KNES,D19GX,KNES D19GX,11,1,1,0,1,1
2019,Spring,"Campion, Aidan",KNES,D015C,KNES D015C,10,0,0,0,0,0
2019,Spring,"Kragalott, Arden",KNES,D019G,KNES D019G,10,3,0,0,1,0
2019,Spring,"Johnson, Mark",KNES,D037E,KNES D037E,10,0,2,0,2,1
2019,Spring,"Altman, Danielle",KNES,D052,KNES D052,10,6,3,2,8,6
2019,Spring,"Damjanovic, Jason",KNES,D19AX,KNES D19AX,10,1,0,0,0,1
2019,Spring,"Johnson, Mark",KNES,D22AX,KNES D22AX,10,2,3,0,0,1
2019,Spring,"Guevara, Dawnis",KNES,D22BX,KNES D22BX,10,4,1,0,0,4
2019,Spring,"Hertler, David",KNES,D25AX,KNES D25AX,10,2,0,0,0,1
2019,Winter,"Catuiza, Rachel",KNES,D005A,KNES D005A,10,8,3,0,2,1
2019,Winter,"Damjanovic, Jason",KNES,D019B,KNES D019B,10,0,0,0,0,0
2019,Winter,"Guevara, Dawnis",KNES,D039A,KNES D039A,10,2,1,0,1,0
2019,Winter,"Kragalott, Arden",KNES,D15EX,KNES D15EX,10,2,0,0,2,1
2019,Winter,"Johnson, Mark",KNES,D22BX,KNES D22BX,10,4,0,0,3,2
2019,Winter,"Guevara, Dawnis",KNES,D22DX,KNES D22DX,10,2,1,0,0,2
2019,Spring,"Johnson, Mark",KNES,D019A,KNES D019A,9,3,2,0,0,0
2019,Spring,"Simons, Kelly",KNES,D022D,KNES D022D,9,0,0,0,1,1
2019,Spring,"Catuiza, Rachel",KNES,D15AX,KNES D15AX,9,1,0,0,0,3
2019,Spring,"Hertler, David",KNES,D31CX,KNES D31CX,9,0,0,0,0,0
2019,Winter,"May, Christian",KNES,D005A,KNES D005A,9,3,1,0,3,6
2019,Winter,"Rabbitt, Peter",KNES,D012D,KNES D012D,9,2,0,0,0,4
2019,Winter,"Catuiza, Rachel",KNES,D15EX,KNES D15EX,9,3,1,0,1,1
2019,Winter,"Damjanovic, Jason",KNES,D15EX,KNES D15EX,9,0,2,0,0,0
2019,Winter,"Johnson, Mark",KNES,D22AX,KNES D22AX,9,2,3,1,0,1
2019,Winter,"Johnson, Mark",KNES,D22AX,KNES D22AX,9,2,0,0,0,1
2019,Spring,"Guevara, Dawnis",KNES,D019B,KNES D019B,8,1,0,0,0,2
2019,Spring,"Kragalott, Arden",KNES,D019E,KNES D019E,8,2,0,0,1,2
2019,Spring,"Roesky, Richard",KNES,D032A,KNES D032A,8,2,0,0,1,2
2019,Spring,"Evans, Nancy",KNES,D16AX,KNES D16AX,8,0,0,0,0,0
2019,Spring,"Johnson, Mark",KNES,D22BX,KNES D22BX,8,2,0,0,0,0
2019,Winter,"Guevara, Dawnis",KNES,D022A,KNES D022A,8,6,2,0,0,2
2019,Winter,"Evans, Nancy",KNES,D022C,KNES D022C,8,1,0,0,1,0
2019,Winter,"Bracy, Shannon",KNES,D046,KNES D046,8,6,9,3,2,4
2019,Winter,"Catuiza, Rachel",KNES,D05AX,KNES D05AX,8,5,2,1,1,1
2019,Winter,"Hertler, David",KNES,D31CX,KNES D31CX,8,0,1,0,0,1
2019,Spring,"Catuiza, Rachel",KNES,D001B,KNES D001B,7,3,0,0,0,0
2019,Spring,"Rabbitt, Peter",KNES,D012D,KNES D012D,7,0,0,0,0,1
2019,Spring,"Kragalott, Arden",KNES,D015C,KNES D015C,7,2,0,0,1,2
2019,Spring,"Guevara, Dawnis",KNES,D015E,KNES D015E,7,0,4,0,0,2
2019,Spring,"May, Christian",KNES,D019A,KNES D019A,7,0,2,0,1,3
2019,Spring,"Johnson, Mark",KNES,D019D,KNES D019D,7,1,0,0,0,0
2019,Spring,"Owiesny, Cheryl",KNES,D050A,KNES D050A,7,5,3,1,4,3
2019,Spring,"Johnson, Mark",KNES,D05BX,KNES D05BX,7,1,0,1,0,0
2019,Spring,"Mattis, Nicholas",KNES,D15CX,KNES D15CX,7,1,0,0,0,0
2019,Spring,"Damjanovic, Jason",KNES,D19BX,KNES D19BX,7,0,0,0,0,0
2019,Spring,"Johnson, Mark",KNES,D22AX,KNES D22AX,7,1,0,0,1,2
2019,Spring,"Hertler, David",KNES,D31BX,KNES D31BX,7,0,0,0,1,1
2019,Winter,"Mattis, Nicholas",KNES,D029B,KNES D029B,7,1,0,0,0,0
2019,Winter,"Roesky, Richard",KNES,D032B,KNES D032B,7,0,0,0,0,0
2019,Winter,"Johnson, Mark",KNES,D038B,KNES D038B,7,0,0,1,0,0
2019,Winter,"Altman, Danielle",KNES,D052,KNES D052,7,7,4,1,12,2
2019,Winter,"Damjanovic, Jason",KNES,D15EX,KNES D15EX,7,1,0,0,0,2
2019,Winter,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,7,4,2,0,1,0
2019,Spring,"Rabbitt, Peter",KNES,D012E,KNES D012E,6,0,0,0,0,0
2019,Spring,"Roesky, Richard",KNES,D032B,KNES D032B,6,1,0,0,1,1
2019,Spring,"Johnson, Mark",KNES,D038A,KNES D038A,6,1,1,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D15CX,KNES D15CX,6,1,1,0,0,1
2019,Spring,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,6,0,0,0,0,2
2019,Spring,"Guevara, Dawnis",KNES,D19GX,KNES D19GX,6,5,0,0,0,0
2019,Spring,"Evans, Nancy",KNES,D19GX,KNES D19GX,6,1,0,0,0,1
2019,Spring,"Guevara, Dawnis",KNES,D22AX,KNES D22AX,6,2,0,0,0,0
2019,Spring,"Guevara, Dawnis",KNES,D22BX,KNES D22BX,6,6,3,0,1,3
2019,Winter,"Ghiasvand, Farzaneh",KNES,D026A,KNES D026A,6,1,0,0,3,2
2019,Winter,"Damjanovic, Jason",KNES,D19DX,KNES D19DX,6,0,0,0,0,0
2019,Winter,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,6,1,0,0,0,1
2019,Spring,"Donahue, Mary",KNES,D001A,KNES D001A,5,0,1,0,2,13
2019,Spring,"Kragalott, Arden",KNES,D019D,KNES D019D,5,0,0,0,0,1
2019,Spring,"Ghiasvand, Farzaneh",KNES,D022A,KNES D022A,5,1,1,1,1,1
2019,Spring,"May, Christian",KNES,D022D,KNES D022D,5,3,0,0,0,1
2019,Spring,"Ghiasvand, Farzaneh",KNES,D026A,KNES D026A,5,1,0,0,0,2
2019,Spring,"Catuiza, Rachel",KNES,D19AX,KNES D19AX,5,0,1,0,1,2
2019,Spring,"Guevara, Dawnis",KNES,D39DX,KNES D39DX,5,0,0,0,0,0
2019,Winter,"Donahue, Mary",KNES,D001C,KNES D001C,5,0,1,0,3,2
2019,Winter,"Simons, Kelly",KNES,D022A,KNES D022A,5,0,0,0,0,1
2019,Winter,"Simons, Kelly",KNES,D022A,KNES D022A,5,0,0,0,1,3
2019,Winter,"Catuiza, Rachel",KNES,D05AX,KNES D05AX,5,2,0,1,1,4
2019,Winter,"Damjanovic, Jason",KNES,D19DX,KNES D19DX,5,0,1,0,0,1
2019,Winter,"Hertler, David",KNES,D31BX,KNES D31BX,5,0,0,0,0,2
2019,Winter,"Owiesny, Cheryl",KNES,D37BX,KNES D37BX,5,1,0,0,0,1
2019,Spring,"Donahue, Mary",KNES,D001A,KNES D001A,4,0,0,0,1,15
2019,Spring,"May, Christian",KNES,D002A,KNES D002A,4,0,1,0,1,2
2019,Spring,"Catuiza, Rachel",KNES,D005B,KNES D005B,4,1,0,0,0,2
2019,Spring,"May, Christian",KNES,D015C,KNES D015C,4,0,0,0,0,0
2019,Spring,"Guevara, Dawnis",KNES,D019A,KNES D019A,4,2,3,0,1,2
2019,Spring,"Johnson, Mark",KNES,D038B,KNES D038B,4,2,1,0,1,0
2019,Spring,"Catuiza, Rachel",KNES,D05BX,KNES D05BX,4,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D15FX,KNES D15FX,4,0,0,2,0,1
2019,Spring,"Catuiza, Rachel",KNES,D16AX,KNES D16AX,4,1,0,0,0,1
2019,Spring,"Hertler, David",KNES,D25BX,KNES D25BX,4,1,0,0,0,0
2019,Spring,"Owiesny, Cheryl",KNES,D37BX,KNES D37BX,4,0,0,0,1,0
2019,Winter,"Donahue, Mary",KNES,D001B,KNES D001B,4,1,0,0,0,3
2019,Winter,"Johnson, Mark",KNES,D038A,KNES D038A,4,2,2,1,2,4
2019,Winter,"Altman, Danielle",KNES,D22AX,KNES D22AX,4,0,0,0,2,1
2019,Winter,"Altman, Danielle",KNES,D22DX,KNES D22DX,4,5,1,0,1,0
2019,Winter,"Hertler, David",KNES,D25BX,KNES D25BX,4,0,0,0,0,0
2019,Spring,"May, Christian",KNES,D001B,KNES D001B,3,1,1,0,2,4
2019,Spring,"Mattis, Nicholas",KNES,D005B,KNES D005B,3,0,0,0,1,3
2019,Spring,"Campion, Aidan",KNES,D015E,KNES D015E,3,2,0,0,0,0
2019,Spring,"Johnson, Mark",KNES,D019E,KNES D019E,3,3,1,0,0,1
2019,Spring,"May, Christian",KNES,D022A,KNES D022A,3,6,1,0,0,1
2019,Spring,"Simons, Kelly",KNES,D032C,KNES D032C,3,0,0,0,0,0
2019,Spring,"Roesky, Richard",KNES,D032C,KNES D032C,3,0,0,0,0,0
2019,Spring,"Lee-Wheat, Coleen",KNES,D077X,KNES D077X,3,1,0,0,0,0
2019,Spring,"Damjanovic, Jason",KNES,D19DX,KNES D19DX,3,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D19EX,KNES D19EX,3,0,0,0,0,2
2019,Winter,"Johnson, Mark",KNES,D037E,KNES D037E,3,3,3,1,0,4
2019,Winter,"Johnson, Mark",KNES,D038C,KNES D038C,3,0,0,2,0,0
2019,Winter,"Guevara, Dawnis",KNES,D039B,KNES D039B,3,2,2,0,0,1
2019,Winter,"Altman, Danielle",KNES,D052,KNES D052,3,3,2,4,16,3
2019,Winter,"Catuiza, Rachel",KNES,D15CX,KNES D15CX,3,2,2,1,1,1
2019,Winter,"Guevara, Dawnis",KNES,D15EX,KNES D15EX,3,1,0,0,2,0
2019,Winter,"Kragalott, Arden",KNES,D15FX,KNES D15FX,3,1,0,0,0,2
2019,Winter,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,3,2,0,3,0,0
2019,Winter,"Hertler, David",KNES,D25BX,KNES D25BX,3,0,0,0,0,0
2019,Winter,"Hertler, David",KNES,D32BX,KNES D32BX,3,0,0,0,0,0
2019,Winter,"Owiesny, Cheryl",KNES,D37CX,KNES D37CX,3,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D001D,KNES D001D,2,0,0,0,0,2
2019,Spring,"Kragalott, Arden",KNES,D016A,KNES D016A,2,0,0,0,0,1
2019,Spring,"Kragalott, Arden",KNES,D016A,KNES D016A,2,4,0,0,1,1
2019,Spring,"Roesky, Richard",KNES,D025B,KNES D025B,2,0,0,0,1,0
2019,Spring,"Simons, Kelly",KNES,D032B,KNES D032B,2,0,0,0,0,1
2019,Spring,"Johnson, Mark",KNES,D038A,KNES D038A,2,0,0,0,1,1
2019,Spring,"Johnson, Mark",KNES,D038B,KNES D038B,2,0,0,0,0,0
2019,Spring,"Johnson, Mark",KNES,D038D,KNES D038D,2,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D15CX,KNES D15CX,2,0,0,0,0,0
2019,Spring,"Damjanovic, Jason",KNES,D19DX,KNES D19DX,2,1,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,2,0,0,0,0,2
2019,Spring,"Hertler, David",KNES,D25BX,KNES D25BX,2,0,0,0,0,1
2019,Spring,"Guevara, Dawnis",KNES,D39CX,KNES D39CX,2,1,0,0,1,0
2019,Winter,"Rabbitt, Peter",KNES,D012E,KNES D012E,2,0,0,0,1,2
2019,Winter,"Lee-Wheat, Coleen",KNES,D012J,KNES D012J,2,2,0,0,0,1
2019,Winter,"Johnson, Mark",KNES,D05BX,KNES D05BX,2,2,1,0,1,0
2019,Winter,"Lee-Wheat, Coleen",KNES,D077Y,KNES D077Y,2,0,0,0,0,0
2019,Winter,"Catuiza, Rachel",KNES,D15CX,KNES D15CX,2,0,0,0,0,3
2019,Winter,"Guevara, Dawnis",KNES,D19BX,KNES D19BX,2,1,0,0,0,1
2019,Winter,"Johnson, Mark",KNES,D19DX,KNES D19DX,2,0,0,0,0,1
2019,Winter,"Hertler, David",KNES,D31BX,KNES D31BX,2,0,0,0,0,1
2019,Winter,"Hertler, David",KNES,D32CX,KNES D32CX,2,0,0,0,0,1
2019,Spring,"Campion, Aidan",KNES,D019G,KNES D019G,1,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D01CX,KNES D01CX,1,4,0,0,0,1
2019,Spring,"Johnson, Mark",KNES,D038C,KNES D038C,1,0,0,0,0,1
2019,Spring,"Johnson, Mark",KNES,D038C,KNES D038C,1,0,0,0,1,1
2019,Spring,"Johnson, Mark",KNES,D038D,KNES D038D,1,0,0,0,1,0
2019,Spring,"Lee-Wheat, Coleen",KNES,D077Y,KNES D077Y,1,0,0,0,0,0
2019,Spring,"Catuiza, Rachel",KNES,D15EX,KNES D15EX,1,1,0,1,1,3
2019,Spring,"Catuiza, Rachel",KNES,D19DX,KNES D19DX,1,0,1,0,0,1
2019,Spring,"Catuiza, Rachel",KNES,D19GX,KNES D19GX,1,4,0,0,0,0
2019,Spring,"Hertler, David",KNES,D25BX,KNES D25BX,1,1,0,0,0,1
2019,Spring,"Guevara, Dawnis",KNES,D26BX,KNES D26BX,1,0,0,0,0,0
2019,Spring,"Owiesny, Cheryl",KNES,D37CX,KNES D37CX,1,0,0,0,0,0
2019,Spring,"Owiesny, Cheryl",KNES,D37DX,KNES D37DX,1,0,0,0,0,0
2019,Winter,"Donahue, Mary",KNES,D001D,KNES D001D,1,0,1,0,1,1
2019,Winter,"Lee-Wheat, Coleen",KNES,D077X,KNES D077X,1,0,0,0,0,0
2019,Winter,"Catuiza, Rachel",KNES,D15AX,KNES D15AX,1,1,3,0,1,2
2019,Winter,"Kragalott, Arden",KNES,D19DX,KNES D19DX,1,0,0,0,0,1
2019,Spring,"Catuiza, Rachel",KNES,D002A,KNES D002A,0,0,0,0,,
2019,Spring,"Campion, Aidan",KNES,D016A,KNES D016A,0,1,0,0,0,1
2019,Spring,"Hertler, David",KNES,D025B,KNES D025B,0,0,0,0,,
2019,Winter,"Donahue, Mary",KNES,D002A,KNES D002A,0,0,0,0,,
2018,Spring,"Donahue, Mary",KNES,D001A,KNES D001A,7,0,0,0,1,13
2018,Spring,"Donahue, Mary",KNES,D001A,KNES D001A,8,1,0,0,1,12
2018,Spring,"Catuiza, Rachel",KNES,D001B,KNES D001B,10,1,2,0,1,2
2018,Spring,"May, Christian",KNES,D001B,KNES D001B,5,3,1,0,2,2
2018,Spring,"Catuiza, Rachel",KNES,D001D,KNES D001D,2,0,0,0,2,1
2018,Spring,"May, Christian",KNES,D002A,KNES D002A,4,5,1,0,1,1
2018,Spring,"Catuiza, Rachel",KNES,D002A,KNES D002A,0,0,0,0,,
2018,Spring,"Catuiza, Rachel",KNES,D005A,KNES D005A,11,7,2,0,1,1
2018,Spring,"Mattis, Nicholas",KNES,D005A,KNES D005A,13,3,0,0,1,6
2018,Spring,"May, Christian",KNES,D005A,KNES D005A,14,2,1,0,3,2
2018,Spring,"Catuiza, Rachel",KNES,D005B,KNES D005B,4,0,0,0,0,1
2018,Spring,"Mattis, Nicholas",KNES,D005B,KNES D005B,4,0,0,0,0,1
2018,Spring,"Rabbitt, Peter",KNES,D012D,KNES D012D,13,2,0,0,0,1
2018,Spring,"Rabbitt, Peter",KNES,D012E,KNES D012E,2,3,0,0,0,1
2018,Spring,"Rabbitt, Peter",KNES,D012G,KNES D012G,30,5,3,0,2,2
2018,Spring,"Kragalott, Arden",KNES,D015C,KNES D015C,9,2,1,0,0,0
2018,Spring,"Catuiza, Rachel",KNES,D015C,KNES D015C,5,0,0,0,0,2
2018,Spring,"Riley, Michael",KNES,D015C,KNES D015C,6,0,0,0,0,0
2018,Spring,"Catuiza, Rachel",KNES,D015E,KNES D015E,1,0,0,0,0,1
2018,Spring,"Kragalott, Arden",KNES,D016A,KNES D016A,6,1,0,0,1,2
2018,Spring,"Kragalott, Arden",KNES,D016A,KNES D016A,9,2,1,0,2,0
2018,Spring,"Catuiza, Rachel",KNES,D016A,KNES D016A,2,1,0,1,0,1
2018,Spring,"Catuiza, Rachel",KNES,D016A,KNES D016A,3,0,0,0,0,0
2018,Spring,"Simons, Kelly",KNES,D019A,KNES D019A,16,4,2,2,0,1
2018,Spring,"Johnson, Mark",KNES,D019A,KNES D019A,13,2,1,1,0,2
2018,Spring,"Riley, Michael",KNES,D019A,KNES D019A,13,0,0,0,1,0
2018,Spring,"Simons, Kelly",KNES,D019D,KNES D019D,8,0,2,0,0,0
2018,Spring,"Johnson, Mark",KNES,D019D,KNES D019D,5,1,2,0,0,0
2018,Spring,"Kragalott, Arden",KNES,D019D,KNES D019D,11,0,0,0,0,1
2018,Spring,"Johnson, Mark",KNES,D019E,KNES D019E,13,3,0,1,1,1
2018,Spring,"Kragalott, Arden",KNES,D019E,KNES D019E,9,2,0,0,1,1
2018,Spring,"Catuiza, Rachel",KNES,D019G,KNES D019G,1,0,0,0,0,0
2018,Spring,"Catuiza, Rachel",KNES,D01CX,KNES D01CX,10,3,1,0,1,1
2018,Spring,"Johnson, Mark",KNES,D022A,KNES D022A,13,1,1,0,1,6
2018,Spring,"Ghiasvand, Farzaneh",KNES,D022A,KNES D022A,10,0,0,1,1,1
2018,Spring,"Ghiasvand, Farzaneh",KNES,D022A,KNES D022A,12,3,1,0,0,0
2018,Spring,"Simons, Kelly",KNES,D022B,KNES D022B,12,3,2,0,0,4
2018,Spring,"Johnson, Mark",KNES,D022B,KNES D022B,7,2,0,1,1,1
2018,Spring,"Ghiasvand, Farzaneh",KNES,D022B,KNES D022B,14,2,0,0,1,2
2018,Spring,"Simons, Kelly",KNES,D022D,KNES D022D,11,2,0,0,0,2
2018,Spring,"Ghiasvand, Farzaneh",KNES,D022D,KNES D022D,19,0,0,0,1,0
2018,Spring,"Ghiasvand, Farzaneh",KNES,D022E,KNES D022E,13,1,0,0,3,3
2018,Spring,"Mattis, Nicholas",KNES,D025A,KNES D025A,25,2,0,0,0,3
2018,Spring,"Roesky, Richard",KNES,D025A,KNES D025A,23,0,1,0,2,2
2018,Spring,"Roesky, Richard",KNES,D025B,KNES D025B,5,0,0,0,1,0
2018,Spring,"Ghiasvand, Farzaneh",KNES,D026A,KNES D026A,9,3,0,0,0,1
2018,Spring,"Mattis, Nicholas",KNES,D029A,KNES D029A,15,0,0,0,0,1
2018,Spring,"Mattis, Nicholas",KNES,D029B,KNES D029B,10,0,0,0,0,0
2018,Spring,"Simons, Kelly",KNES,D032A,KNES D032A,16,1,0,0,0,1
2018,Spring,"Roesky, Richard",KNES,D032A,KNES D032A,11,0,0,0,2,1
2018,Spring,"Simons, Kelly",KNES,D032B,KNES D032B,6,0,0,0,0,1
2018,Spring,"Roesky, Richard",KNES,D032B,KNES D032B,5,0,3,0,1,0
2018,Spring,"Simons, Kelly",KNES,D032C,KNES D032C,1,0,0,0,0,0
2018,Spring,"Johnson, Mark",KNES,D037E,KNES D037E,7,1,4,1,1,1
2018,Spring,"Johnson, Mark",KNES,D037E,KNES D037E,15,1,1,0,0,1
2018,Spring,"Johnson, Mark",KNES,D038A,KNES D038A,2,0,1,0,2,1
2018,Spring,"Johnson, Mark",KNES,D038A,KNES D038A,2,4,0,1,2,1
2018,Spring,"Johnson, Mark",KNES,D038B,KNES D038B,0,1,0,0,0,0
2018,Spring,"Johnson, Mark",KNES,D038B,KNES D038B,2,1,0,0,0,0
2018,Spring,"Johnson, Mark",KNES,D038C,KNES D038C,2,1,0,0,0,0
2018,Spring,"Johnson, Mark",KNES,D038D,KNES D038D,0,1,0,0,0,0
2018,Spring,"Guevara, Dawnis",KNES,D039A,KNES D039A,9,3,2,0,2,0
2018,Spring,"Guevara, Dawnis",KNES,D039B,KNES D039B,8,0,1,0,0,0
2018,Spring,"Kragalott, Arden",KNES,D045,KNES D045,9,11,10,1,5,2
2018,Spring,"Owiesny, Cheryl",KNES,D045,KNES D045,15,7,1,3,9,4
2018,Spring,"Kragalott, Arden",KNES,D045,KNES D045,20,12,1,0,3,3
2018,Spring,"Owiesny, Cheryl",KNES,D050A,KNES D050A,15,5,0,0,6,2
2018,Spring,"Mattis, Nicholas",KNES,D052,KNES D052,23,0,1,1,5,2
2018,Spring,"Owiesny, Cheryl",KNES,D052,KNES D052,10,8,3,3,6,3
2018,Spring,"Owiesny, Cheryl",KNES,D052,KNES D052,8,7,4,2,8,13
2018,Spring,"Altman, Danielle",KNES,D052,KNES D052,7,7,4,2,6,11
